SKU,Stock levels,Lead times,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates
SKU70,10,12,775,16,11.440781823761265,Pass,1.8305755986122316
SKU71,76,2,258,10,30.66167747785956,Pending,2.078750607874969
SKU72,57,29,152,11,55.76049289524421,Pending,3.213329607438309
SKU73,17,25,444,4,46.87023879761716,Fail,4.620546064513706
SKU74,41,6,919,9,80.58085215644782,Fail,0.3966127241099354
SKU75,16,20,759,11,48.06478264000659,Pass,2.030069088668752
SKU76,38,1,985,24,64.32359779560022,Pending,2.1800374515822165
SKU77,96,28,334,5,42.95244474899184,Pass,3.055141818307548
SKU78,5,4,858,21,71.12651472040338,Pending,4.096881332470452
SKU79,31,25,228,12,57.87090292403628,Pending,0.1658716274806082
SKU80,39,14,202,5,76.96122802382001,Fail,2.8496621985053308
SKU81,48,6,698,1,19.789592941903603,Pending,2.547547121548712
SKU82,42,19,955,26,4.46527843494324,Pending,4.137877048622357
SKU83,65,24,443,5,97.73059380053304,Fail,0.7730061340672478
SKU84,73,26,589,22,33.808636513209095,Pass,4.843456577118041
SKU85,15,18,211,2,69.9293455186723,Fail,1.3744289997457582
SKU86,32,14,569,18,74.60896999519468,Pass,2.0515129307662465
SKU87,5,7,523,17,28.69699682414317,Fail,3.693737787839276
SKU88,60,18,953,11,68.18491905704117,Pending,0.722204401882931
SKU89,90,1,370,11,46.60387338164447,Pending,1.9076657339590744
SKU90,66,18,585,8,85.67596333579797,Pass,1.2193822244013883
SKU91,98,22,207,28,39.772882502339975,Pending,0.6260018582093946
SKU92,90,25,671,29,62.61269039561434,Pass,0.3334318252247392
SKU93,63,17,824,20,35.63365234334388,Fail,4.165781795424145
SKU94,77,26,908,14,60.38737861486212,Pass,1.4636074984727798
SKU95,15,14,450,26,58.89068576858998,Pending,1.2108821295850665
SKU96,67,2,648,28,17.80375633139127,Pending,3.872047681482133
SKU97,46,19,535,13,65.76515592636746,Fail,3.376237834717981
SKU98,53,1,581,9,5.604690864371781,Pending,2.908122169351261
SKU99,55,8,921,2,38.07289852062604,Fail,0.3460272907055034
